post_id,platform,post_type,Likes,Comments,Shares,Impressions,Reach,age
190,Twitter,Video,751,435,45,2169,3612,53
191,LinkedIn,Image,590,449,144,7075,4911,60
192,Twitter,Video,97,199,115,6975,1222,49
193,Instagram,Link,265,238,130,2457,1222,65
194,Instagram,Image,83,121,133,8964,4513,40
195,Instagram,Link,144,168,143,5721,1259,64
196,Instagram,Link,969,279,154,5998,3736,38
197,Instagram,Link,392,399,124,5664,3802,44
198,Facebook,Image,539,362,24,3910,2670,37
199,Facebook,Link,704,9,103,8491,3857,51
200,Twitter,Image,821,355,73,8988,761,51
201,Twitter,Video,138,405,95,7032,4212,48
202,Instagram,Video,263,190,45,2493,4574,21
203,LinkedIn,Image,312,171,193,1045,3866,38
204,Twitter,Video,573,86,122,9624,664,54
205,Twitter,Link,715,291,15,4262,1460,38
206,LinkedIn,Image,381,160,190,8651,2370,64
207,Twitter,Link,928,100,192,6332,3145,19
208,Facebook,Link,528,300,127,3346,4980,48
209,Facebook,Link,507,468,185,4379,803,47
210,LinkedIn,Link,126,8,142,3431,1469,40
211,LinkedIn,Image,908,456,15,8392,2657,47
212,LinkedIn,Video,20,98,30,5854,620,26
213,Facebook,Image,324,245,193,9983,3619,47
214,Instagram,Image,406,161,59,2285,4487,48
215,Instagram,Image,187,441,70,2119,4670,45
216,Facebook,Link,269,14,111,7212,3490,60
217,Twitter,Video,875,68,127,4553,3327,52
218,LinkedIn,Video,898,365,48,2831,2724,19
219,Twitter,Video,614,137,122,9932,3644,38
220,Instagram,Video,855,203,110,4832,4966,64
221,Instagram,Video,408,393,51,9942,847,65
222,Twitter,Image,163,72,74,3994,2035,44
223,LinkedIn,Video,616,273,198,5746,1038,34
224,Instagram,Video,891,68,134,8991,4597,22
225,Instagram,Image,430,370,39,8128,2663,29
226,LinkedIn,Video,936,201,113,3304,3098,46
227,Facebook,Link,807,286,172,7795,2869,23
228,Twitter,Video,473,474,161,4722,2945,47
229,LinkedIn,Image,907,283,167,6880,4344,52
230,Instagram,Image,946,387,150,1815,4420,62
231,LinkedIn,Video,953,190,35,3801,1414,50
232,Twitter,Video,92,318,49,2488,2913,44
233,Instagram,Link,507,157,118,8930,3042,43
234,Instagram,Image,634,330,164,9429,772,57
235,Instagram,Video,971,185,143,5675,3553,32
236,Instagram,Link,632,465,176,1743,3123,37
237,LinkedIn,Link,864,377,183,1577,556,46
238,Facebook,Link,74,179,26,6888,1582,22
239,Facebook,Link,393,368,120,7505,1727,21
240,Facebook,Link,193,311,11,6503,3278,27
241,LinkedIn,Image,863,373,110,4072,3484,48
242,LinkedIn,Link,713,159,91,3719,1388,53
243,Twitter,Link,118,112,99,1404,774,34
244,Twitter,Image,540,418,52,4405,1759,18
245,LinkedIn,Image,961,422,121,8939,3810,21
246,Instagram,Video,454,126,52,1468,3107,38
247,Facebook,Video,482,295,13,2630,957,53
248,Facebook,Link,172,43,188,1973,3330,56
249,LinkedIn,Video,597,354,70,1782,4885,46
250,Facebook,Image,426,195,126,9478,3607,47
251,Twitter,Image,543,387,36,3804,675,27
252,Instagram,Image,574,374,32,8563,1858,65
253,LinkedIn,Link,742,26,104,3302,2139,55
254,Facebook,Image,207,421,95,3080,3815,54
255,Facebook,Image,683,303,32,7848,1564,39
256,Facebook,Link,295,165,186,9687,1289,40
257,LinkedIn,Video,932,421,130,3957,4946,45
258,Twitter,Video,657,244,21,2219,4810,45
259,Instagram,Image,684,458,185,1732,2672,21
260,Facebook,Video,767,359,187,9846,1594,34
261,LinkedIn,Image,678,355,13,8027,3541,44
262,Facebook,Video,737,53,33,2177,2850,47
263,Instagram,Image,313,191,129,8228,1386,42
264,Facebook,Link,307,419,153,6681,3755,26
265,Instagram,Video,663,282,8,5947,4694,39
266,LinkedIn,Video,474,232,183,5657,850,35
267,Facebook,Video,635,423,162,9344,3927,23
268,LinkedIn,Image,312,498,105,5657,656,34
269,LinkedIn,Link,77,173,86,6249,4412,38
270,Instagram,Link,432,490,75,2091,1204,39
271,Instagram,Image,81,147,66,4621,1698,50
272,Facebook,Link,549,13,95,6022,1020,31
273,Instagram,Link,302,90,146,9450,3556,53
274,Twitter,Image,578,403,136,9976,846,33
275,Facebook,Image,143,485,124,7106,2850,46
276,Facebook,Video,658,374,161,3848,2060,20
277,LinkedIn,Link,510,443,64,5338,4733,61
278,Twitter,Video,64,18,88,2009,4925,55
279,Instagram,Link,164,450,200,3860,3313,45
280,Instagram,Image,378,466,46,9456,3063,42
281,Facebook,Video,589,383,190,6535,4987,24
282,LinkedIn,Video,243,130,119,4065,1488,60
283,Instagram,Image,766,449,48,6874,1507,49
284,Instagram,Image,436,182,119,8415,4022,56
285,LinkedIn,Image,781,256,141,5003,4216,42
286,Facebook,Image,328,477,120,6833,826,56
287,Twitter,Image,750,234,113,6280,2896,39
288,Instagram,Link,906,213,8,7784,2044,61
289,Facebook,Link,892,486,190,3152,3594,21
290,LinkedIn,Link,826,428,172,1059,3608,40
291,Twitter,Video,981,488,96,2247,564,28
292,Twitter,Image,136,238,118,2311,2771,42
293,LinkedIn,Video,485,425,62,5419,2893,20
294,Instagram,Link,294,72,105,9880,2016,45
295,LinkedIn,Link,824,330,182,2479,2093,29
296,Instagram,Video,806,466,7,2287,1895,44
297,LinkedIn,Image,707,191,103,5203,4387,32
298,Facebook,Video,601,136,103,6568,4813,54
299,Facebook,Image,660,440,50,8202,1228,53
300,Facebook,Image,190,270,7,9625,1137,22
301,Twitter,Link,992,356,108,9158,1673,48
302,Twitter,Image,895,145,193,8109,4450,52
303,Twitter,Image,973,451,139,5670,3227,46
304,LinkedIn,Video,405,202,130,8613,787,47
305,Facebook,Image,848,419,158,3997,4989,29
306,Facebook,Image,610,232,55,5916,1930,53
307,Facebook,Link,571,217,35,6063,3288,32
308,LinkedIn,Link,43,292,143,8406,4042,51
309,LinkedIn,Image,311,171,179,8899,4890,52
310,Instagram,Image,746,334,86,8448,2059,35
311,Twitter,Video,933,385,90,2115,3926,53
312,Twitter,Video,575,36,178,3820,656,63
313,Instagram,Image,745,294,91,9709,3689,49
314,LinkedIn,Video,16,146,85,4047,851,31
315,Twitter,Image,583,467,55,8409,2101,18
316,Twitter,Image,254,95,8,4707,1968,57
317,Facebook,Link,31,31,162,4251,4356,59
318,Instagram,Image,235,167,138,1365,4095,44
319,Facebook,Link,600,373,42,8717,4440,61
320,Facebook,Image,230,237,114,7117,2705,59
321,LinkedIn,Video,948,172,48,7141,1491,49
322,Instagram,Video,92,125,164,3036,836,32
323,Facebook,Video,989,448,50,4935,4082,52
324,Instagram,Link,215,181,63,5857,3385,59
325,Instagram,Link,428,363,131,7086,2142,62
326,Instagram,Video,894,171,154,3440,4825,43
327,Facebook,Link,747,28,76,2953,1683,49
328,LinkedIn,Video,777,427,198,1683,4041,31
329,Facebook,Image,485,313,107,7639,2243,47
330,Instagram,Video,438,260,71,4743,4230,37
331,Facebook,Image,790,161,169,2564,4958,39
332,LinkedIn,Video,446,27,130,9596,1429,28
333,Facebook,Video,979,236,78,5765,2980,22
334,Twitter,Image,680,86,146,7694,1539,40
335,Instagram,Link,13,42,153,8573,1718,18
336,Facebook,Link,477,255,153,9901,2175,25
337,Facebook,Image,334,496,3,5207,2937,47
338,Twitter,Video,402,34,190,7173,4341,39
339,Twitter,Link,861,48,75,8981,937,31
340,LinkedIn,Video,678,366,154,2183,742,32
341,LinkedIn,Image,451,37,181,9691,4476,40
342,Instagram,Image,366,82,122,2659,4888,21
343,LinkedIn,Image,630,185,147,2942,4782,62
344,Instagram,Image,641,142,149,5964,3390,55
345,Facebook,Video,818,473,75,9844,1955,55
346,Instagram,Image,165,118,182,8913,2123,33
347,Instagram,Video,80,387,185,8352,2016,46
348,LinkedIn,Video,700,280,110,7352,2746,27
349,Facebook,Link,915,437,74,3546,3181,64
350,Facebook,Video,816,153,140,2607,3953,61
351,Facebook,Image,910,259,77,9126,595,46
352,Twitter,Image,145,166,88,8557,3799,56
353,Instagram,Image,150,36,132,7684,4225,43
354,Instagram,Video,744,477,65,1882,4763,27
355,Instagram,Video,173,178,126,6581,3384,48
356,Facebook,Video,149,333,100,8645,2645,30
357,LinkedIn,Video,680,298,19,8979,4938,50
358,LinkedIn,Image,890,373,131,1460,3351,38
359,Facebook,Video,926,426,132,3656,2885,65
360,Instagram,Video,759,206,21,1333,4041,19
361,Facebook,Link,39,271,160,3613,2872,51
362,Instagram,Video,899,36,117,3309,1120,45
363,Facebook,Link,813,384,165,5592,1458,46
364,Twitter,Video,227,475,26,2159,4292,27
365,LinkedIn,Image,835,336,101,6140,3441,52
366,Twitter,Video,152,308,176,4911,3109,55
367,LinkedIn,Image,485,260,42,9789,3499,47
368,Facebook,Link,92,104,51,5315,4229,24
369,Instagram,Video,109,318,129,7462,936,59
370,Facebook,Image,93,398,115,5771,3393,34
371,Twitter,Image,809,434,178,6329,3616,52
372,LinkedIn,Video,976,326,27,7636,1800,54
373,Instagram,Video,901,34,82,1929,516,63
374,Twitter,Image,372,114,194,8628,1244,27
375,Instagram,Link,695,36,183,6142,2840,58
376,LinkedIn,Video,240,285,159,4949,4743,29
377,LinkedIn,Video,362,113,70,3130,2268,51
378,Facebook,Video,608,209,180,3866,1324,64
379,Instagram,Link,595,339,164,2080,1873,44
380,Facebook,Video,460,202,88,7725,605,29
381,Facebook,Video,924,235,136,1090,1350,53
382,Facebook,Image,495,328,121,6094,4513,24
383,Instagram,Image,527,310,197,5552,2027,36
384,LinkedIn,Link,998,141,185,4908,854,25
385,Facebook,Link,826,213,121,3464,4873,53
386,LinkedIn,Link,883,159,55,1662,2804,54
387,Facebook,Link,426,54,58,6966,589,61
388,Twitter,Image,422,204,8,9455,3349,37
389,LinkedIn,Video,867,463,121,6493,1965,41
390,Facebook,Link,284,491,170,1065,1133,41
391,Instagram,Link,125,226,104,9469,2882,65
392,Twitter,Link,24,447,4,2380,1714,49
393,Instagram,Link,560,356,91,3076,4856,62
394,LinkedIn,Image,0,472,3,1034,749,31
395,LinkedIn,Image,330,472,112,7787,3979,19
396,LinkedIn,Video,873,195,159,3457,2007,64
397,Twitter,Video,951,20,24,2813,1343,65
398,Twitter,Video,406,185,2,9845,1123,60
399,Facebook,Video,783,356,25,2106,4170,46
400,LinkedIn,Link,130,83,64,7703,2321,23
401,Facebook,Image,113,158,44,4782,3680,48
402,Instagram,Link,591,83,130,1931,3479,28
403,Twitter,Image,433,484,41,5958,2258,63
404,Facebook,Image,205,60,114,4732,2999,47
405,Instagram,Video,394,154,107,7237,1651,32
406,LinkedIn,Video,168,102,14,7944,2880,26
407,LinkedIn,Video,699,256,168,9320,2760,42
408,Instagram,Link,375,249,82,9327,3713,23
409,Instagram,Image,251,175,1,7750,2334,48
410,LinkedIn,Link,681,9,88,7631,2449,58
411,LinkedIn,Link,259,198,105,5098,3433,19
412,Twitter,Image,569,446,139,3966,2023,52
413,Instagram,Video,754,106,145,4252,643,61
414,Facebook,Link,634,314,104,8116,4347,53
415,LinkedIn,Image,42,133,155,2783,2446,47
416,LinkedIn,Video,239,197,183,7594,1775,35
417,LinkedIn,Video,857,226,58,3958,3043,24
418,Facebook,Video,659,373,80,1533,3458,20
419,LinkedIn,Link,166,233,159,1322,4618,20
420,Instagram,Image,678,165,137,8211,3636,49
421,Instagram,Image,36,18,174,7828,1031,42
422,LinkedIn,Image,697,130,190,4330,4320,61
423,Instagram,Video,758,27,184,7153,3697,61
424,Twitter,Video,825,487,10,6220,2292,52
425,LinkedIn,Image,885,304,1,4075,1652,22
426,Facebook,Link,842,129,0,6942,2539,47
427,Twitter,Image,968,442,136,5732,1327,57
428,Instagram,Link,312,267,45,6812,646,57
429,Twitter,Video,726,211,159,3505,4637,23
430,Facebook,Video,57,104,78,5456,1842,47
431,Facebook,Image,610,120,79,7890,1934,35
432,Twitter,Video,761,39,140,3392,4595,43
433,Instagram,Video,298,100,34,7780,4075,56
434,Instagram,Link,763,126,200,6689,3268,47
435,LinkedIn,Link,413,305,172,9304,4511,44
436,LinkedIn,Link,533,112,9,2076,1393,44
437,Facebook,Video,61,232,16,9895,1262,22
438,Twitter,Video,846,253,159,7872,3013,48
439,LinkedIn,Link,488,460,10,9634,1044,52
440,Twitter,Video,881,210,87,3610,2071,21
441,LinkedIn,Image,646,40,143,3204,4290,50
442,Twitter,Link,749,377,28,5844,2877,65
443,LinkedIn,Link,691,449,189,2870,2841,18
444,Facebook,Video,521,372,139,7666,3706,44
445,Instagram,Link,712,5,191,3584,3798,18
446,Twitter,Link,715,475,25,10000,3612,25
447,Facebook,Link,677,118,196,1729,4313,50
448,Instagram,Video,234,127,100,9652,4129,20
449,Twitter,Image,98,1,151,7053,2944,37
450,Twitter,Video,757,64,177,9994,3959,52
451,Facebook,Link,105,136,20,5900,4950,19
452,LinkedIn,Image,978,31,124,3086,4616,59
453,Instagram,Video,507,401,110,1544,4035,64
454,Twitter,Video,373,268,109,6397,4165,32
455,Instagram,Image,801,413,17,2436,4527,36
456,Instagram,Video,166,297,134,9781,2301,38
457,Instagram,Link,854,488,62,7018,4663,62
458,Facebook,Video,943,368,139,8970,3756,46
459,Instagram,Video,855,195,162,7263,2545,45
460,Twitter,Image,757,436,74,2578,1524,52
461,Twitter,Link,351,500,154,2208,4455,59
462,LinkedIn,Video,82,224,54,9332,2047,60
463,Facebook,Video,64,352,110,6969,4462,55
464,Facebook,Image,415,163,133,3313,3814,36
465,Instagram,Image,772,63,131,8294,3040,21
466,Instagram,Link,905,68,122,2229,3916,36
467,LinkedIn,Image,846,231,2,9972,4623,63
468,Twitter,Link,790,379,173,6632,915,31
469,Facebook,Link,869,223,31,4136,4371,24
470,Twitter,Video,26,114,168,8281,654,65
471,Twitter,Image,396,287,200,8163,806,57
472,Twitter,Image,349,176,188,4742,3434,63
473,Facebook,Video,564,346,2,8854,2269,35
474,LinkedIn,Link,585,87,69,8346,2420,61
475,Instagram,Video,609,495,79,7219,4263,47
476,LinkedIn,Link,777,321,95,4140,4868,50
477,LinkedIn,Image,282,7,131,8907,4645,37
478,LinkedIn,Image,858,82,17,1663,2268,39
479,LinkedIn,Image,909,98,120,6601,4218,65
480,Instagram,Image,180,59,50,3793,4254,37
481,LinkedIn,Image,735,33,103,9796,3881,63
482,LinkedIn,Link,936,315,53,3999,1205,52
483,Facebook,Image,32,245,88,3641,4636,52
484,Facebook,Video,628,115,58,1480,4537,37
485,Twitter,Link,815,89,126,9195,976,52
486,LinkedIn,Video,433,221,61,8541,883,54
487,LinkedIn,Image,586,139,153,8925,2348,53
488,Instagram,Image,491,340,183,5373,1952,51
489,Twitter,Image,489,415,74,8232,1714,34
490,Facebook,Link,380,19,77,2179,1446,63
491,Facebook,Image,89,415,190,9951,3628,40
492,Instagram,Link,609,218,157,2224,2421,30
493,LinkedIn,Image,731,90,54,8635,4367,54
494,Instagram,Link,779,135,188,5225,2718,20
495,Instagram,Link,635,144,138,2628,2393,22
496,Instagram,Video,577,436,32,1883,1153,30
497,Facebook,Link,391,248,97,7759,2197,50
498,Facebook,Link,350,43,133,2760,1076,60
499,LinkedIn,Image,987,39,163,2061,4305,47
500,Facebook,Link,674,354,180,3267,913,29
501,Facebook,Link,430,165,21,4479,4797,18
502,Facebook,Video,191,383,191,6829,1820,51
503,Facebook,Video,595,211,39,5902,1565,35
504,Instagram,Link,784,277,112,4658,1380,39
505,Instagram,Image,672,374,170,3603,3580,32
506,Instagram,Image,85,329,56,2477,1854,55
507,Facebook,Link,538,483,28,7658,4958,19
508,Twitter,Video,873,396,91,9145,2117,54
509,LinkedIn,Image,535,242,172,5612,4254,49
510,LinkedIn,Image,777,166,8,1236,1339,21
511,LinkedIn,Image,249,397,153,4674,2946,28
512,Facebook,Video,841,210,74,1267,2349,65
513,Facebook,Video,300,32,32,4049,4651,61
514,Instagram,Link,274,107,151,7086,4048,27
515,Instagram,Video,899,430,135,9481,544,56
516,Facebook,Video,904,379,44,1759,3980,43
517,LinkedIn,Image,224,235,114,4284,4035,51
518,LinkedIn,Link,166,14,117,5312,1738,62
519,Instagram,Link,103,457,144,2688,2045,20
520,Facebook,Video,899,106,27,1915,1597,23
521,Instagram,Link,567,354,34,5843,1392,57
522,Instagram,Video,948,77,192,1768,4164,26
523,Twitter,Link,73,354,75,6424,3665,63
524,Twitter,Video,846,277,81,2150,2743,36
525,LinkedIn,Video,952,289,122,8190,1219,46
526,Twitter,Video,38,221,124,1114,3940,59
527,Facebook,Video,463,56,27,7040,4039,19
528,LinkedIn,Link,509,325,86,4319,4705,49
529,Facebook,Image,267,56,41,7887,1387,37
530,Facebook,Link,860,318,142,4604,1161,53
531,Facebook,Video,972,157,176,9109,3228,47
532,Instagram,Image,244,490,109,1513,3499,18
533,Twitter,Link,229,207,68,3026,2074,39
534,LinkedIn,Image,280,257,63,5845,1783,52
535,Facebook,Video,83,206,30,3926,4631,23
536,Instagram,Link,11,213,108,1782,3326,45
537,Instagram,Link,253,473,73,2363,894,20
538,Twitter,Video,848,241,84,7732,4868,64
539,Facebook,Link,356,450,99,1198,4502,58
540,Facebook,Image,338,25,75,1898,3174,40
541,Facebook,Link,493,96,36,4532,2750,39
542,Instagram,Video,644,58,41,7982,2162,33
543,Instagram,Video,189,159,140,8788,563,31
544,Twitter,Video,323,440,139,6671,1340,45
545,LinkedIn,Link,456,31,41,1874,3062,24
546,LinkedIn,Video,208,445,61,1143,1782,31
547,Instagram,Image,795,339,40,5858,2114,45
548,Facebook,Link,525,394,107,4768,1849,57
549,LinkedIn,Image,723,499,6,5911,3383,49
550,LinkedIn,Image,993,192,54,5596,3191,28
551,LinkedIn,Image,898,412,121,5663,701,58
552,LinkedIn,Video,886,370,159,2475,2251,54
553,Twitter,Image,477,373,174,4279,2316,23
554,Facebook,Image,1,427,198,6854,4571,48
555,LinkedIn,Image,40,371,30,2468,1424,46
556,LinkedIn,Image,766,408,172,5168,2620,32
557,Twitter,Link,750,107,185,5720,2608,43
558,LinkedIn,Video,300,23,107,3180,4752,47
559,LinkedIn,Video,624,227,101,8081,4753,39
560,LinkedIn,Image,472,359,54,7570,2133,24
561,LinkedIn,Video,753,203,41,8605,525,49
562,Facebook,Video,690,393,178,4724,4484,64
563,Twitter,Link,450,406,73,9848,3784,45
564,Twitter,Link,2,35,157,9770,4700,60
565,Twitter,Image,209,300,141,5357,3980,23
566,Instagram,Link,994,415,195,1788,3291,26
567,Instagram,Link,943,368,195,7867,1273,31
568,Twitter,Video,646,73,153,8638,3393,33
569,Facebook,Image,747,132,37,3225,3961,20
570,Twitter,Image,180,178,187,5664,957,50
571,LinkedIn,Image,156,243,81,4301,4339,41
